Date,Value
2015-08-03,995.12
2015-07-31,994.16
2015-07-30,995.47
2015-07-29,988.26
2015-07-28,993.16
2015-07-27,990.86
2015-07-24,985.64
2015-07-23,999.59
2015-07-22,999.5
2015-07-21,1011.2
2015-07-20,1016.8
2015-07-17,1043.72
2015-07-16,1049.57
2015-07-15,1047.23
2015-07-14,1052.18
2015-07-13,1048.09
2015-07-10,1037.59
2015-07-09,1054.05
2015-07-08,1047.0
2015-07-07,1057.34
2015-07-06,1052.87
2015-07-03,1052.16
2015-07-02,1049.35
2015-07-01,1052.06
2015-06-30,1050.98
2015-06-29,1054.66
2015-06-26,1050.67
2015-06-25,1047.71
2015-06-24,1049.44
2015-06-23,1053.34
2015-06-22,1040.23
2015-06-19,1062.23
2015-06-18,1053.98
2015-06-17,1048.65
2015-06-16,1048.33
2015-06-15,1049.81
2015-06-12,1049.65
2015-06-11,1049.0
2015-06-10,1051.54
2015-06-09,1047.09
2015-06-08,1046.72
2015-06-05,1048.29
2015-06-04,1042.37
2015-06-03,1056.32
2015-06-02,1071.84
2015-06-01,1101.08
2015-05-29,1086.7
2015-05-28,1085.31
2015-05-27,1090.39
2015-05-26,1087.77
2015-05-25,1092.3
2015-05-22,1092.3
2015-05-21,1083.49
2015-05-20,1090.3
2015-05-19,1091.26
2015-05-18,1076.65
2015-05-15,1066.78
2015-05-14,1076.45
2015-05-13,1066.29
2015-05-12,1059.44
2015-05-11,1066.45
2015-05-08,1057.18
2015-05-07,1054.03
2015-05-06,1051.79
2015-05-05,1069.94
2015-05-04,1053.58
2015-05-01,1047.85
2015-04-30,1053.28
2015-04-29,1084.31
2015-04-28,1100.94
2015-04-27,1102.59
2015-04-24,1088.77
2015-04-23,1097.76
2015-04-22,1108.96
2015-04-21,1112.79
2015-04-20,1112.56
2015-04-17,1116.85
2015-04-16,1125.61
2015-04-15,1124.42
2015-04-14,1117.16
2015-04-13,1133.98
2015-04-10,1136.17
2015-04-09,1118.94
2015-04-08,1118.71
2015-04-07,1115.05
2015-04-06,1086.24
2015-04-03,1101.31
2015-04-02,1101.31
2015-04-01,1112.66
2015-03-31,1105.21
2015-03-30,1094.65
2015-03-27,1097.98
2015-03-26,1101.94
2015-03-25,1088.15
2015-03-24,1092.47
2015-03-23,1085.66
2015-03-20,1096.02
2015-03-19,1097.57
2015-03-18,1077.89
2015-03-17,1085.15
2015-03-16,1087.82
2015-03-13,1094.9
2015-03-12,1085.34
2015-03-11,1087.42
2015-03-10,1085.22
2015-03-09,1077.36
2015-03-06,1082.49
2015-03-05,1089.81
2015-03-04,1083.76
2015-03-03,1084.31
2015-03-02,1083.02
2015-02-27,1082.33
2015-02-26,1077.5
2015-02-25,1060.75
2015-02-24,1051.87
2015-02-23,1060.81
2015-02-20,1062.81
2015-02-19,1061.85
2015-02-18,1061.48
2015-02-17,1061.06
2015-02-16,1077.86
2015-02-13,1080.9
2015-02-12,1074.96
2015-02-11,1082.53
2015-02-10,1090.16
2015-02-09,1092.59
2015-02-06,1093.92
2015-02-05,1101.66
2015-02-04,1110.33
2015-02-03,1104.29
2015-02-02,1121.79
2015-01-30,1116.8
2015-01-29,1119.02
2015-01-28,1135.7
2015-01-27,1130.21
2015-01-26,1138.28
2015-01-23,1150.94
2015-01-22,1134.98
2015-01-21,1116.39
2015-01-20,1113.63
2015-01-19,1095.09
2015-01-16,1111.11
2015-01-15,1086.52
2015-01-14,1047.72
2015-01-13,1045.28
2015-01-12,1037.82
2015-01-09,1028.98
2015-01-08,1030.74
2015-01-07,1025.54
2015-01-06,1015.35
2015-01-05,1005.28
2015-01-02,974.19
2015-01-01,996.65
2014-12-31,996.65
2014-12-30,991.41
2014-12-29,973.28
2014-12-26,966.07
2014-12-25,964.56
2014-12-24,964.56
2014-12-23,965.59
2014-12-22,975.12
2014-12-19,974.84
2014-12-18,976.42
2014-12-17,964.74
2014-12-16,961.27
2014-12-15,973.44
2014-12-12,976.57
2014-12-11,982.23
2014-12-10,989.81
2014-12-09,987.64
2014-12-08,970.59
2014-12-05,970.97
2014-12-04,972.1
2014-12-03,977.76
2014-12-02,963.52
2014-12-01,957.0
2014-11-28,948.74
2014-11-27,957.22
2014-11-26,955.82
2014-11-25,960.31
2014-11-24,962.89
2014-11-21,969.75
2014-11-20,948.93
2014-11-19,953.71
2014-11-18,951.8
2014-11-17,949.3
2014-11-14,936.74
2014-11-13,931.3
2014-11-12,933.32
2014-11-11,930.67
2014-11-10,933.82
2014-11-07,930.0
2014-11-06,920.68
2014-11-05,914.44
2014-11-04,927.89
2014-11-03,935.36
2014-10-31,929.24
2014-10-30,952.34
2014-10-29,958.78
2014-10-28,964.35
2014-10-27,966.64
2014-10-24,973.08
2014-10-23,974.62
2014-10-22,981.92
2014-10-21,982.17
2014-10-20,973.75
2014-10-17,966.71
2014-10-16,968.47
2014-10-15,969.87
2014-10-14,974.74
2014-10-13,969.21
2014-10-10,965.47
2014-10-09,965.0
2014-10-08,959.29
2014-10-07,958.51
2014-10-06,951.35
2014-10-03,955.12
2014-10-02,957.64
2014-10-01,965.82
2014-09-30,962.99
2014-09-29,961.26
2014-09-26,956.01
2014-09-25,952.15
2014-09-24,951.05
2014-09-23,949.98
2014-09-22,946.35
2014-09-19,949.92
2014-09-18,944.51
2014-09-17,953.74
2014-09-16,952.1
2014-09-15,953.94
2014-09-12,951.85
