,Date,Volume (BTC)
358,2016-06-23,24334.0793193
359,2016-06-24,16163.8016025
360,2016-06-25,6576.67165429
361,2016-06-26,5838.1489745
362,2016-06-27,8668.59311399
363,2016-06-28,5478.35678011
364,2016-06-29,9132.47818623
365,2016-06-30,7479.78991538
366,2016-07-01,6432.9196212
367,2016-07-02,5506.04313621
368,2016-07-03,7320.31995024
369,2016-07-04,4290.13225288
370,2016-07-05,3112.7271219
371,2016-07-06,3590.61112814
372,2016-07-07,12686.9774814
373,2016-07-08,6579.38521243
374,2016-07-09,6180.15042485
375,2016-07-10,2313.34939114
376,2016-07-11,2978.13685533
377,2016-07-12,4288.07627477
378,2016-07-13,6573.20203068
379,2016-07-14,2392.43467683
380,2016-07-15,3228.34264303
381,2016-07-16,1682.67647056
382,2016-07-17,3437.77012475
383,2016-07-18,3012.20623456
384,2016-07-19,1904.43446142
385,2016-07-20,3418.62509416
386,2016-07-21,2503.04270767
387,2016-07-22,5191.55506577
388,2016-07-23,1284.52223933
389,2016-07-24,1427.97990306
390,2016-07-25,2441.94401025
391,2016-07-26,3552.82907397
392,2016-07-27,2664.94311137
393,2016-07-28,1909.23654208
394,2016-07-29,1297.14816627
395,2016-07-30,719.15982547
396,2016-07-31,4933.61939038
397,2016-08-01,5512.82137405
398,2016-08-02,22142.6673397
399,2016-08-03,15453.586159600001
400,2016-08-04,8499.83692796
401,2016-08-05,4811.23583899
402,2016-08-06,6021.3087891000005
403,2016-08-07,2910.30990604
404,2016-08-08,3181.85250852
405,2016-08-09,3174.70598792
406,2016-08-10,5217.75905561
407,2016-08-11,2543.68401092
408,2016-08-12,2177.37864395
409,2016-08-13,962.30229892
410,2016-08-14,4812.88862744
411,2016-08-15,4633.74558455
412,2016-08-16,4837.18871903
413,2016-08-17,4108.5976507
414,2016-08-18,3967.28412511
415,2016-08-19,4652.00521466
416,2016-08-20,2431.78684382
417,2016-08-21,1139.76224273
418,2016-08-22,5086.06256577
419,2016-08-23,4182.04589939
420,2016-08-24,2991.01460758
421,2016-08-25,4231.40701036
422,2016-08-26,3300.29774328
