,Date,Daily Closing Price
122,2015-10-31,310.18
123,2015-11-01,325.78
124,2015-11-02,361.26
125,2015-11-03,404.06
126,2015-11-04,408.0
127,2015-11-05,385.5
128,2015-11-06,374.47
129,2015-11-07,383.53
130,2015-11-08,372.65
131,2015-11-09,377.9
132,2015-11-10,336.8
133,2015-11-11,309.91
134,2015-11-12,337.17
135,2015-11-13,336.99
136,2015-11-14,333.0
137,2015-11-15,319.28
138,2015-11-16,330.83
139,2015-11-17,336.08
140,2015-11-18,335.65
141,2015-11-19,326.02
142,2015-11-20,322.04
143,2015-11-21,326.5
144,2015-11-22,324.2
145,2015-11-23,323.48
146,2015-11-24,319.7
147,2015-11-25,328.9
148,2015-11-26,353.21
149,2015-11-27,357.14
150,2015-11-28,356.95
151,2015-11-29,371.48
152,2015-11-30,376.71
153,2015-12-01,363.06
154,2015-12-02,358.89
155,2015-12-03,361.42
156,2015-12-04,363.62
157,2015-12-05,388.0
158,2015-12-06,388.24
159,2015-12-07,395.57
160,2015-12-08,417.89
161,2015-12-09,416.98
162,2015-12-10,415.57
163,2015-12-11,453.04
164,2015-12-12,436.19
165,2015-12-13,433.07
166,2015-12-14,443.36
167,2015-12-15,464.53
168,2015-12-16,455.87
169,2015-12-17,456.17
170,2015-12-18,462.46
171,2015-12-19,461.8
172,2015-12-20,442.54
173,2015-12-21,438.07
174,2015-12-22,435.48
175,2015-12-23,442.56
176,2015-12-24,455.0
177,2015-12-25,455.51
178,2015-12-26,417.39
179,2015-12-27,421.76
180,2015-12-28,421.46
181,2015-12-29,431.82
182,2015-12-30,425.84
183,2015-12-31,430.89
184,2016-01-01,433.82
185,2016-01-02,433.55
186,2016-01-03,431.04
187,2016-01-04,434.17
188,2016-01-05,432.43
189,2016-01-06,429.56
190,2016-01-07,457.0
191,2016-01-08,452.7
192,2016-01-09,448.84
193,2016-01-10,448.79
194,2016-01-11,448.0
195,2016-01-12,434.85
196,2016-01-13,432.64
197,2016-01-14,429.55
198,2016-01-15,360.0
199,2016-01-16,386.91
200,2016-01-17,380.16
201,2016-01-18,385.49
202,2016-01-19,376.76
