,Date,Weekly Average Price
59,2014-06-01,652.6728571428572
60,2014-06-08,614.7942857142858
61,2014-06-15,594.5214285714285
62,2014-06-22,584.4457142857142
63,2014-06-29,633.5342857142857
64,2014-07-06,626.9399999999999
65,2014-07-13,625.0342857142857
66,2014-07-20,612.8299999999999
67,2014-07-27,585.2071428571428
68,2014-08-03,586.0228571428571
69,2014-08-10,544.3785714285715
70,2014-08-17,501.62571428571425
71,2014-08-24,507.40999999999997
72,2014-08-31,478.26142857142855
73,2014-09-07,474.57571428571424
74,2014-09-14,441.2414285714285
75,2014-09-21,410.91
76,2014-09-28,369.30428571428575
77,2014-10-05,347.07714285714286
78,2014-10-12,389.5414285714286
79,2014-10-19,371.6171428571429
80,2014-10-26,343.81
81,2014-11-02,336.57142857142856
82,2014-11-09,389.48285714285714
83,2014-11-16,370.3214285714285
84,2014-11-23,373.05142857142863
85,2014-11-30,375.41857142857145
86,2014-12-07,355.51571428571424
87,2014-12-14,331.33714285714285
88,2014-12-21,325.16428571428565
89,2014-12-28,310.5642857142857
90,2015-01-04,158.62285714285713
91,2015-01-11,221.55999999999997
92,2015-01-18,226.12999999999997
93,2015-01-25,244.5471428571429
94,2015-02-01,226.98142857142858
95,2015-02-08,228.82
96,2015-02-15,240.55428571428573
97,2015-02-22,242.3942857142857
98,2015-03-01,272.5042857142857
99,2015-03-08,287.03285714285715
100,2015-03-15,271.2914285714286
101,2015-03-22,253.66571428571433
102,2015-03-29,248.86428571428573
103,2015-04-05,247.1414285714286
104,2015-04-12,224.54714285714286
105,2015-04-19,229.76714285714283
106,2015-04-26,228.34571428571425
107,2015-05-03,237.56857142857146
108,2015-05-10,238.22714285714284
109,2015-05-17,235.20285714285714
110,2015-05-24,235.75571428571428
111,2015-05-31,224.89285714285714
112,2015-06-07,228.2057142857143
113,2015-06-14,243.24571428571429
114,2015-06-21,244.24857142857144
115,2015-06-28,256.4914285714286
116,2015-07-05,274.5628571428571
117,2015-07-12,287.22285714285715
118,2015-07-19,280.46714285714285
119,2015-07-26,289.12428571428575
120,2015-08-02,278.3114285714286
121,2015-08-09,265.65714285714284
122,2015-08-16,237.76142857142858
123,2015-08-23,224.86714285714285
124,2015-08-30,229.91428571428568
125,2015-09-06,239.49714285714285
126,2015-09-13,230.43285714285716
127,2015-09-20,231.29142857142855
128,2015-09-27,236.93714285714287
129,2015-10-04,243.1857142857143
130,2015-10-11,254.81571428571428
131,2015-10-18,271.41285714285715
132,2015-10-25,303.6742857142857
133,2015-11-01,377.5142857142856
134,2015-11-08,343.48857142857145
135,2015-11-15,328.0571428571428
136,2015-11-22,337.6542857142857
137,2015-11-29,369.0257142857143
138,2015-12-06,417.64
139,2015-12-13,453.89428571428573
140,2015-12-20,440.93571428571425
141,2015-12-27,428.4485714285715
142,2016-01-03,440.82
143,2016-01-10,420.10571428571427
144,2016-01-17,391.0385714285714
145,2016-01-24,387.6271428571428
146,2016-01-31,375.7057142857143
147,2016-02-07,378.71571428571434
148,2016-02-14,414.6685714285714
149,2016-02-21,429.4614285714286
150,2016-02-28,421.57
151,2016-03-06,413.0028571428571
152,2016-03-13,413.6985714285714
153,2016-03-20,415.0057142857143
154,2016-03-27,418.18571428571425
155,2016-04-03,419.6557142857143
156,2016-04-10,425.3142857142857
157,2016-04-17,440.5628571428571
158,2016-04-24,455.59857142857135
159,2016-05-01,451.33571428571435
160,2016-05-08,455.74857142857144
161,2016-05-15,448.55571428571426
162,2016-05-22,459.71285714285716
163,2016-05-29,542.2871428571428
164,2016-06-05,583.1428571428571
165,2016-06-12,717.6485714285715
166,2016-06-19,672.5157142857142
167,2016-06-26,659.0200000000001
168,2016-07-03,661.6042857142858
169,2016-07-10,657.5442857142856
170,2016-07-17,665.9442857142856
171,2016-07-24,654.7857142857143
172,2016-07-31,581.6728571428572
173,2016-08-07,587.4314285714287
174,2016-08-14,571.7842857142857
175,2016-08-21,577.2771428571428
176,2016-08-28,575.6314285714286
177,2016-09-04,614.2642857142856
178,2016-09-11,606.6885714285715
179,2016-09-18,601.3257142857143
180,2016-09-25,605.7814285714285
181,2016-10-02,610.7014285714286
182,2016-10-09,630.1057142857143
183,2016-10-16,636.0314285714286
184,2016-10-23,672.3100000000001
185,2016-10-30,707.7457142857144
186,2016-11-06,710.9628571428572
187,2016-11-13,727.1342857142857
188,2016-11-20,736.5514285714286
189,2016-11-27,744.5657142857143
190,2016-12-04,763.4142857142857
191,2016-12-11,777.7199999999999
192,2016-12-18,839.6628571428572
193,2016-12-25,941.4285714285714
194,2017-01-01,995.04
195,2017-01-08,848.75
196,2017-01-15,880.8785714285714
197,2017-01-22,909.6614285714287
198,2017-01-29,977.0
199,2017-02-05,1018.9171428571428
200,2017-02-12,1023.7842857142857
201,2017-02-19,1130.1257142857144
202,2017-02-26,1227.7457142857143
203,2017-03-05,1202.7142857142858
204,2017-03-12,1169.3285714285714
205,2017-03-19,1017.2300000000001
206,2017-03-26,1038.26
207,2017-04-02,1152.2714285714285
208,2017-04-09,1194.7585714285713
209,2017-04-16,1208.0585714285714
210,2017-04-23,1292.5414285714285
211,2017-04-30,1471.7414285714287
212,2017-05-07,1713.3228571428572
213,2017-05-14,1831.922857142857
214,2017-05-21,2202.341428571429
215,2017-05-28,2345.134285714286
216,2017-06-04,2760.0499999999997
217,2017-06-11,2616.27
218,2017-06-18,2638.315714285714
219,2017-06-25,2495.3771428571426
220,2017-07-02,2557.968571428571
221,2017-07-09,2291.94
222,2017-07-16,2441.4700000000003
223,2017-07-23,2674.672857142857
224,2017-07-30,2849.2400000000002
225,2017-08-06,3468.412857142857
226,2017-08-13,4195.808571428572
227,2017-08-20,4175.574285714286
228,2017-08-27,4589.364285714285
229,2017-09-03,4445.900000000001
230,2017-09-10,3868.308571428572
231,2017-09-17,3790.8928571428573
232,2017-09-24,4049.327142857143
233,2017-10-01,4341.628571428571
234,2017-10-08,5119.124285714286
235,2017-10-15,5756.317142857142
236,2017-10-22,5784.575714285716
237,2017-10-29,6714.115714285714
238,2017-11-05,7001.7585714285715
239,2017-11-12,7084.502857142857
240,2017-11-19,8208.407142857142
241,2017-11-26,10047.535714285714
242,2017-12-03,13595.864285714286
243,2017-12-10,16732.182857142856
244,2017-12-17,16612.764285714286
245,2017-12-24,14378.369999999999
246,2017-12-31,15197.044285714286
247,2018-01-07,14520.080000000002
248,2018-01-14,12201.182857142858
249,2018-01-21,11187.952857142858
250,2018-01-28,10004.554285714286
251,2018-02-04,7986.341428571429
252,2018-02-11,9470.710000000001
253,2018-02-18,10425.185714285715
254,2018-02-25,10596.294285714286
255,2018-03-04,10118.012857142856
256,2018-03-11,8625.602857142858
257,2018-03-18,8679.34857142857
258,2018-03-25,7599.238571428571
259,2018-04-01,6911.06
260,2018-04-08,7343.582857142857
