,Date,Volume (Currency)
339,2016-06-04,3569801.44325
340,2016-06-05,3104174.12062
341,2016-06-06,2599632.51236
342,2016-06-07,3889183.61435
343,2016-06-08,1885760.6519900002
344,2016-06-09,2173852.2483900003
345,2016-06-10,1992463.0620900001
346,2016-06-11,2358616.30702
347,2016-06-12,9092256.254519999
348,2016-06-13,11948752.1777
349,2016-06-14,7245670.99635
350,2016-06-15,3958020.1704300004
351,2016-06-16,13252865.1519
352,2016-06-17,10852879.6436
353,2016-06-18,4450980.856240001
354,2016-06-19,1975322.22799
355,2016-06-20,5917339.4618
356,2016-06-21,22257644.3019
357,2016-06-22,10462967.0683
358,2016-06-23,14297065.0423
359,2016-06-24,10563018.7887
360,2016-06-25,4375554.65365
361,2016-06-26,3672917.7387699997
362,2016-06-27,5537101.67279
363,2016-06-28,3544743.27599
364,2016-06-29,5770127.80366
365,2016-06-30,4895853.65048
366,2016-07-01,4339245.156769999
367,2016-07-02,3811458.84055
368,2016-07-03,4906039.38349
369,2016-07-04,2870919.40162
370,2016-07-05,2092573.27766
371,2016-07-06,2412784.30191
372,2016-07-07,8058820.66247
373,2016-07-08,4252992.55385
374,2016-07-09,3994710.13065
375,2016-07-10,1490267.21786
376,2016-07-11,1932846.2000099998
377,2016-07-12,2839548.15157
378,2016-07-13,4342194.79169
379,2016-07-14,1576629.1714700002
380,2016-07-15,2143543.85395
381,2016-07-16,1111201.65884
382,2016-07-17,2320473.32246
383,2016-07-18,2037381.50674
384,2016-07-19,1278189.69039
385,2016-07-20,2282261.37539
386,2016-07-21,1661238.4119
387,2016-07-22,3407485.3597
388,2016-07-23,838038.597392
389,2016-07-24,939586.0142219999
390,2016-07-25,1600627.6250200002
391,2016-07-26,2311378.90589
392,2016-07-27,1742046.0574599998
393,2016-07-28,1249934.30199
394,2016-07-29,848986.1619279999
395,2016-07-30,470912.144375
396,2016-07-31,3125805.15142
397,2016-08-01,3399251.95135
398,2016-08-02,12122476.9294
399,2016-08-03,8476073.71106
400,2016-08-04,4849529.13774
401,2016-08-05,2744096.46759
402,2016-08-06,3470953.44949
403,2016-08-07,1720291.72988
404,2016-08-08,1876919.9223200001
405,2016-08-09,1856560.6156400002
406,2016-08-10,3093831.60367
407,2016-08-11,1504308.95593
408,2016-08-12,1276363.86275
409,2016-08-13,563625.080321
410,2016-08-14,2748170.07448
411,2016-08-15,2618493.4862
412,2016-08-16,2766616.05963
413,2016-08-17,2348397.52788
414,2016-08-18,2271526.86467
415,2016-08-19,2653115.88128
416,2016-08-20,1399905.46856
417,2016-08-21,659564.955465
418,2016-08-22,2950211.77376
419,2016-08-23,2429199.90807
420,2016-08-24,1731521.17728
421,2016-08-25,2432466.89872
422,2016-08-26,1906954.6349099998
423,2016-08-27,1540115.4576
424,2016-08-28,589949.3149479999
425,2016-08-29,1337424.14472
426,2016-08-30,2549324.6768799997
427,2016-08-31,2238453.98331
428,2016-09-01,1614962.02298
429,2016-09-02,1711339.7460100001
430,2016-09-03,2709470.37659
431,2016-09-04,2374456.18921
432,2016-09-05,2307087.13721
433,2016-09-06,2447636.43814
434,2016-09-07,2749975.13897
435,2016-09-08,2710494.37573
436,2016-09-09,2031926.20966
437,2016-09-10,950617.059716
438,2016-09-11,3240280.3343
439,2016-09-12,2126936.02037
440,2016-09-13,2106487.10996
441,2016-09-14,1761472.09602
442,2016-09-15,1870525.59088
443,2016-09-16,1585218.43126
444,2016-09-17,674972.584483
445,2016-09-18,792167.993472
446,2016-09-19,1504205.84414
447,2016-09-20,1625919.5676
448,2016-09-21,2184063.9133200003
449,2016-09-22,1440643.02538
450,2016-09-23,2394294.7319099996
451,2016-09-24,685185.082901
452,2016-09-25,650928.914686
453,2016-09-26,2444753.79398
454,2016-09-27,1846161.5050599999
455,2016-09-28,1329117.19821
456,2016-09-29,1641055.43714
457,2016-09-30,1593409.0406799999
458,2016-10-01,892033.6636440001
459,2016-10-02,856141.6519470001
460,2016-10-03,1370270.01545
461,2016-10-04,1795599.84679
462,2016-10-05,1469331.4777799998
463,2016-10-06,1242954.85864
464,2016-10-07,2468265.95408
465,2016-10-08,546015.410318
466,2016-10-09,719904.656843
467,2016-10-10,1410892.88739
468,2016-10-11,5100218.347709999
469,2016-10-12,1690227.11408
470,2016-10-13,1510988.66892
